Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Lesotho,Africa,32775,1529.934,68,3.174,59,697,32.536,0,0,0
Haiti,Americas,30461,267.143,29,0.254,0,827,7.253,0,0,0
Mali,Africa,30424,150.236,26,0.128,3,726,3.585,1,0.005,0
Benin,Africa,26575,219.208,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26410,166.171,10,0.063,0,1361,8.563,2,0.013,0
Isle of Man,Europe,24696,29043.184,1122,1319.503,208,81,95.258,1,1.176,0
Congo,Africa,24049,435.821,29,0.526,0,378,6.85,0,0,0
Saint Lucia,Americas,22853,12445.338,74,40.299,6,365,198.773,3,1.634,0
Timor-Leste,South-East Asia,22789,1728.476,21,1.593,0,129,9.784,0,0,0
Burkina Faso,Africa,20751,99.272,0,0,0,375,1.794,0,0,0
Cayman Islands,Americas,20073,30543.214,262,398.661,262,22,33.475,4,6.086,4
Bhutan,South-East Asia,18652,2417.29,3092,400.722,0,7,0.907,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17067,152.469,52,0.465,3,138,1.233,1,0.009,0
Gibraltar,Europe,16088,47751.625,281,834.051,35,101,299.783,0,0,0
Equatorial Guinea,Africa,15898,1133.155,13,0.927,3,183,13.044,0,0,0
Guernsey,Europe,15630,24244.586,1196,1855.184,0,31,48.086,0,0,0
Djibouti,Eastern Mediterranean,15568,1575.709,18,1.822,3,189,19.13,0,0,0
United States Virgin Islands,Americas,15556,14896.816,130,124.491,0,109,104.381,0,0,0
San Marino,Europe,14789,43576.522,203,598.15,63,112,330.014,0,0,0
Central African Republic,Africa,14649,303.307,329,6.812,329,113,2.34,0,0,0
Liechtenstein,Europe,14401,37166.748,972,2508.581,0,76,196.144,0,0,0
Nicaragua,Americas,14108,212.965,73,1.102,0,226,3.412,1,0.015,0
Grenada,Americas,13690,12166.402,0,0,0,216,191.961,0,0,0
Gambia,Africa,11973,495.434,10,0.414,0,365,15.103,0,0,0
Bermuda,Americas,11899,19107.8,265,425.546,49,124,199.123,1,1.606,0
Greenland,Europe,11895,20952.23,70,123.3,16,20,35.229,0,0,0
Yemen,Eastern Mediterranean,11793,39.539,12,0.04,9,2139,7.172,1,0.003,0
Dominica,Americas,11529,16014.502,281,390.327,0,62,86.122,1,1.389,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,10472,18194.138,318,552.496,93,31,53.86,1,1.737,1
Saint Martin,Americas,9908,25629.22,38,98.295,0,44,113.816,0,0,0
Monaco,Europe,9827,25040.771,259,659.973,49,51,129.956,0,0,0
Eritrea,Africa,9722,274.136,6,0.169,1,103,2.904,0,0,0
Sint Maarten,Americas,9586,22354.368,13,30.316,0,85,198.218,0,0,0
Solomon Islands,Western Pacific,9124,1328.317,974,141.8,0,120,17.47,2,0.291,0
Niger,Africa,8781,36.275,14,0.058,0,308,1.272,1,0.004,0
Saint Vincent and the Grenadines,Americas,8323,7502.253,2,1.803,0,106,95.547,0,0,0
Guinea-Bissau,Africa,8068,409.959,41,2.083,0,168,8.537,1,0.051,0
Comoros,Africa,8063,927.207,16,1.84,0,160,18.399,0,0,0
Sierra Leone,Africa,7667,96.114,2,0.025,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7466,7623.891,11,11.233,0,135,137.855,0,0,0
Liberia,Africa,7397,146.253,13,0.257,0,294,5.813,0,0,0
Chad,Africa,7269,44.253,11,0.067,9,190,1.157,0,0,0
Bonaire,Americas,6950,33229.739,0,0,0,28,133.875,0,0,0
British Virgin Islands,Americas,6091,20144.194,0,0,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5936,2708.536,2,0.913,1,72,32.853,0,0,0
Turks and Caicos Islands,Americas,5874,15171.238,7,18.079,0,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5540,10415.1,4,7.52,0,42,78.959,0,0,0
Palau,Western Pacific,3922,21678.09,58,320.584,23,6,33.164,0,0,0
Saint Barthélemy,Americas,3763,38067.779,37,374.305,0,4,40.465,0,0,0
Kiribati,Western Pacific,3033,2539.159,42,35.161,6,13,10.883,1,0.837,0
Anguilla,Americas,2574,17157.712,19,126.65,0,9,59.992,0,0,0
Tonga,Western Pacific,2072,1960.358,1013,958.418,209,2,1.892,2,1.892,0
Saint Pierre and Miquelon,Americas,1055,18205.349,0,0,0,1,17.256,0,0,0
Other,Other,764,,0,,0,13,,0,,0
American Samoa,Western Pacific,588,1065.275,285,516.332,33,0,0,0,0,0
Sint Eustatius,Americas,472,15036.636,0,0,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Cook Islands,Western Pacific,379,2157.823,238,1355.044,41,0,0,0,0,0
Vanuatu,Western Pacific,266,86.604,217,70.651,20,0,0,0,0,0
Saba,Americas,211,10915.675,0,0,0,0,0,0,0,0
Montserrat,Americas,166,3320.664,2,40.008,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,118,3387.884,2,57.422,0,0,0,0,0,0
Samoa,Western Pacific,48,24.192,7,3.528,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Niue,Western Pacific,1,61.805,1,61.805,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
